Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.31.230.220-18.155.1.19-49102-443-6,172.31.230.220,49102,18.155.1.19,443,6,05/05/2023 04:53:57 PM,53045147,4,1,102.0,39.0,39.0,0.0,25.5,18.411952639521967,39.0,39.0,39.0,0.0,2.658113097509184,0.09425932969890724,1.326128675E7,2.650656714505848E7,5.3021134E7,15.0,5.3045147E7,1.7681715666666664E7,3.060483625563627E7,5.3021134E7,339.0,0,0,0,0,0,1,0,0,0,128,32,0.07540746375912578,0.018851865939781446,0.0,39.0,30.0,15.874507866387544,252.0,1,0,0,4,5,0,0,0,0.0,36.0,25.5,39.0,0,0,0,0,0,0,0,20,0,7,501,143,2,32,23674.0,0.0,23674.0,23674.0,8.41660045155232E14,1.190286975782874E15,1.68332003728933E15,5.3021134E7,NeedManualLabel
172.31.230.220-54.156.82.247-38932-443-6,172.31.230.220,38932,54.156.82.247,443,6,05/05/2023 04:53:57 PM,53045394,5,1,123.0,46.0,46.0,0.0,24.6,23.276597689524987,46.0,46.0,46.0,0.0,3.1859505087284297,0.11311066894893833,1.06090788E7,2.371702818464559E7,5.3035388E7,14.0,5.3045394E7,1.3261348500000002E7,2.6516026685382124E7,5.3035388E7,14.0,0,0,0,0,0,1,0,0,0,160,32,0.09425889079078195,0.01885177815815639,0.0,46.0,30.714285714285708,21.68497395059757,470.2380952380952,1,0,0,4,6,0,0,0,0.0,35.833333333333336,24.6,46.0,0,0,0,0,0,0,0,20,0,7,501,323,2,32,9438.0,0.0,9438.0,9438.0,8.41660045162406E14,1.1902869757728612E15,1.683320037289424E15,5.3035388E7,NeedManualLabel
54.156.82.247-172.31.230.220-443-38932-6,54.156.82.247,443,172.31.230.220,38932,6,05/05/2023 04:54:50 PM,149,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,13422.818791946309,149.0,0.0,149.0,149.0,149.0,149.0,0.0,149.0,149.0,0,0,0,0,0,0,0,0,0,64,0,13422.818791946309,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,323,0,0,32,0,0,0,0,1.68332009034399E15,0.0,1.68332009034399E15,1.68332009034399E15,NeedManualLabel
18.155.1.19-172.31.230.220-443-49102-6,18.155.1.19,443,172.31.230.220,49102,6,05/05/2023 04:54:50 PM,186,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,10752.688172043012,186.0,0.0,186.0,186.0,186.0,186.0,0.0,186.0,186.0,0,0,0,0,0,0,0,0,0,64,0,10752.688172043012,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,143,0,0,32,0,0,0,0,1.683320090357931E15,0.0,1.683320090357931E15,1.683320090357931E15,NeedManualLabel
172.31.230.220-35.186.227.140-58368-443-6,172.31.230.220,58368,35.186.227.140,443,6,05/05/2023 04:54:01 PM,53044923,4,1,102.0,39.0,39.0,0.0,25.5,18.411952639521967,39.0,39.0,39.0,0.0,2.65812432228434,0.09425972774057943,1.326123075E7,2.6519919544563368E7,5.304111E7,56.0,5.3044923E7,1.7681641E7,3.0622198459581263E7,5.304111E7,317.0,0,0,0,0,0,1,0,0,0,128,32,0.07540778219246355,0.018851945548115888,0.0,39.0,30.0,15.874507866387544,252.0,1,0,0,4,5,0,0,0,0.0,36.0,25.5,39.0,0,0,0,0,0,0,0,20,0,7,501,3637,2,32,3496.0,0.0,3496.0,3496.0,8.41660047165677E14,1.1902869785978222E15,1.683320041290244E15,5.304111E7,NeedManualLabel
35.186.227.140-172.31.230.220-443-58368-6,35.186.227.140,443,172.31.230.220,58368,6,05/05/2023 04:54:54 PM,138,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,14492.753623188406,138.0,0.0,138.0,138.0,138.0,138.0,0.0,138.0,138.0,0,0,0,0,0,0,0,0,0,64,0,14492.753623188406,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,3637,0,0,32,0,0,0,0,1.683320094338303E15,0.0,1.683320094338303E15,1.683320094338303E15,NeedManualLabel
Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.31.230.220-172.28.97.26-53308-53-17,172.31.230.220,53308,172.28.97.26,53,17,05/05/2023 04:53:51 PM,86287,1,1,58.0,226.0,58.0,58.0,58.0,0.0,226.0,226.0,226.0,0.0,3291.3416853060135,23.178462572577562,86287.0,0.0,86287.0,86287.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,11.589231286288781,11.589231286288781,58.0,226.0,114.0,96.99484522385713,9408.0,0,0,0,0,0,0,0,0,1.0,171.0,58.0,226.0,0,0,0,0,0,0,0,29,0,113,0,0,0,8,0,0,0,0,1.683320031737232E15,0.0,1.683320031737232E15,1.683320031737232E15,NeedManualLabel
172.31.230.220-185.125.190.58-36868-123-17,172.31.230.220,36868,185.125.190.58,123,17,05/05/2023 04:54:53 PM,76895,1,1,48.0,48.0,48.0,48.0,48.0,0.0,48.0,48.0,48.0,0.0,1248.4556863255086,26.009493465114765,76895.0,0.0,76895.0,76895.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,13.004746732557383,13.004746732557383,48.0,48.0,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,72.0,48.0,48.0,0,0,0,0,0,0,0,24,0,24,0,0,0,8,0,0,0,0,1.6833200933933E15,0.0,1.6833200933933E15,1.6833200933933E15,NeedManualLabel
172.31.230.220-157.240.241.60-48204-443-6,172.31.230.220,48204,157.240.241.60,443,6,05/05/2023 04:53:39 PM,70516492,19,17,794.0,1964.0,104.0,0.0,41.78947368421052,41.90409546063808,718.0,0.0,115.52941176470588,206.96078059835963,39.11141807791573,0.5105188726631495,2014756.9142857147,5020051.713353461,2.5908831E7,20.0,7.0516492E7,3917582.888888889,6524712.501967666,2.5908831E7,20591.0,7.045461E7,4403413.125000001,6782880.6314841565,2.5931256E7,17889.0,1,0,0,0,608,544,0.26944051612777337,0.24107835653537615,0.0,718.0,76.43243243243244,145.84629286046712,21271.14114114114,0,0,0,19,36,0,0,0,0.0,78.55555555555556,41.78947368421053,115.52941176470588,0,0,0,0,0,0,0,22,0,54,501,786,9,32,298309.75,553375.8302391935,1128373.0,21077.0,3.366640146933576E14,7.528035923566305E14,1.683320019665731E15,7017795.0,NeedManualLabel
